"Ranking,Name,ELO,PlayedGames"
"398,[Corgi]Pixelhallows,95.6,49"
"399,[Bot],95.5,372"
"400,spas,95.5,66"
"401,Swissempire,95.3,89"
"402,[EU]bruh,95.3,66"
"403,ddd,95.3,33"
"404,[CORGI]Finland,95.3,321"
"405,Winsterie,95.2,368"
"406,KhergitKhaganate,95.1,217"
"407,[PI]Napi3r,95.1,92"
"408,Bassdusche,95.1,88"
"409,Daddy[Cool],94.9,38"
"410,[PL]Matiti,94.8,419"
"411,[PL]penislover,94.8,80"
"412,[Mrtki],94.6,48"
"413,Tadort,94.4,119"
"414,[ARG]Mate,94.3,103"
"415,[OG]XPert,94.2,487"
"416,Kko,94.1,134"
"417,[Wank]yourmum,94.0,332"
"418,[OG]ItsMe,93.9,53"
"419,Player158,93.9,291"
"420,megapint4,93.8,80"
"421,[fr]letithappen,93.7,57"
"422,Devastation,93.4,233"
"423,I'mfromMinecraft,93.2,86"
"424,SkrSkr,93.1,157"
"425,nggalostto140elo,93.0,211"
"426,YourLife'sFailures,93.0,102"
"427,Pointifix,93.0,322"
"428,[CORGI]Alpha&Omega,93.0,379"
"429,Blob,92.8,73"
"430,Bassdusche,92.6,48"
"431,[OG]Vxisplaying?,92.5,193"
"432,fck[vice]theirass,92.5,200"
"433,[Tau]TauEmpire,92.2,657"
"434,România[RO],92.2,148"
"435,[PL]Bobson,92.1,129"
"436,[FR]Gleconquerant,92.0,202"
"437,Golden-Horde,91.9,402"
"438,fancyclown,91.9,332"
"439,FerrumCorde,91.7,156"
"440,vivelaskibidi,91.6,34"
"441,Player381,91.3,143"
"442,[KGB]Yudodis,91.3,92"
"443,megapint374,90.7,94"
"444,[RU]Kouper,90.7,538"
"445,[BR]Tlks,90.5,237"
"446,llorT[OG]Troll,90.5,75"
"447,Arun,90.5,148"
"448,888,90.3,53"
"449,Switzerland,90.3,29"
"450,attack=fullsend,90.2,224"
"451,Mohács,90.2,156"
"452,Ninja,90.2,163"
"453,Taiwan#1,90.1,611"
"454,Excellence,89.8,46"
"455,[TR]gamin,89.7,136"
"456,[Corgi]Unkn0wn,89.7,399"
"457,[IND]xxx,89.7,192"
"458,Borona10,89.0,48"
"459,Player759,88.9,32"
"460,Obristan,88.7,188"
"461,[ind]don'tborderme,88.7,101"
"462,Ozonemetaverse.io,88.7,1000"
"463,RAL,88.6,359"
"464,#1Brazilplayer,88.3,465"
"465,iOSUser4,88.3,169"
"466,[FR]nukar,88.2,35"
"467,[uWu]nderkind,88.0,49"
"468,phage,88.0,348"
"469,[MTG]Sig,88.0,48"
"470,[Corgi]Cambridge,88.0,57"
"471,[ARCH]iamlimehill,87.9,438"
"472,Player210,87.9,45"
"473,[UA]Emerald,87.7,127"
"474,Arsheniya,87.7,514"
"475,[SPQR]Sanader,87.6,53"
"476,[UA]Україна,87.6,614"
"477,AndroidUser11,87.5,50"
"478,*JON*[og]notJoIN,87.3,109"
"479,GalacticRepublic,87.3,51"
"480,Yourebadatzombie,87.3,116"
"481,[tr]gaeming,87.2,225"
"482,StessLess[WRATH],87.2,77"
"483,[bog]dsc.gg/bog,87.1,426"
"484,[ARCH]ListenToBarti,87.1,39"
"485,onTheStreetMyFriend,87.1,264"
"486,AndroidUser955,87.1,369"
"487,Cookie,87.0,76"
"488,Zyoner12[TR],86.9,703"
"489,Republicof3,86.8,221"
"490,AndroidUser981,86.8,155"
"491,[OG]eg,86.7,317"
"492,#Cosmoawaitsyou!,86.6,134"
"493,nenno,86.6,72"
"494,RomanEmpire,86.6,124"
"495,pineapples,86.6,479"
"496,Mower[Nor],86.6,101"
"497,[Corgi]Power,86.5,59"
"498,[PLAYIS]458,86.4,51"
"499,[GR]goat-lover,86.3,91"
"500,Player568,86.3,26"
"501,[Corgi]ErenYeager,86.1,294"
"502,vril,86.0,42"
"503,[Kopku]cyku,86.0,1040"
"504,[OG]ItsMe,86.0,679"
"505,[arch]Rhodesia,85.9,116"
"506,ihate,85.6,1313"
"507,[NOCLAN]Sorry,85.6,197"
"508,Player633,85.5,125"
"509,Switzerland,85.3,31"
"510,SmegmaMaleGigachad,85.3,863"
"511,Freddan,85.1,139"
"512,[soyjak]ZRUSSIA,85.1,69"
"513,Fullsendifbetray,84.9,107"
"514,WeirdStrategy,84.9,26"
"515,[UA]Aleks,84.8,504"
"516,Damianodeimaneskin,84.8,540"
"517,Gotham,84.8,319"
"518,[UZB]Marufovs,84.6,104"
"519,MidlandKindom,84.6,131"
"520,[FR]Cow-Boy's,84.4,46"
"521,[UA]wiwii,84.3,208"
"522,ЯсперМоглот,84.3,93"
"523,[PDX]Wil,84.3,214"
"524,Legion[MAG],84.3,30"
"525,GermanyforEurope,84.3,59"
"526,[Roeder],84.1,81"
"527,The[CHRIST]Empire,84.1,143"
"528,Dain,84.0,591"
"529,KingdomofTears,84.0,86"
"530,[Corgi]Trident,83.9,54"
"531,Player562,83.7,145"
"532,[PLAYER]115,83.7,97"
"533,Byzantium,83.6,104"
"534,[NL]Ouroboros,83.3,99"
"535,Territoryx,83.2,162"
"536,Scandinavia,83.1,154"
"537,[GRU],83.1,129"
"538,Player301,83.0,100"
"539,[Corgi]Shrey,83.0,95"
"540,Hi_,83.0,85"
"541,[OIC],83.0,122"
"542,w_taipo_w,82.8,845"
"543,[FN]MenAltai,82.7,133"
"544,Player584,82.7,34"
"545,Player299,82.6,28"
"546,[PL]lolas,82.5,94"
"547,GummyLips,82.4,139"
"548,____________,82.4,34"
"549,Player935,82.4,153"
"550,Sophia,82.4,116"
"551,Minty[FreeElo],82.3,363"
"552,[OG]HellNahBro,82.3,101"
"553,Chuzz,82.3,84"
"554,korea,82.2,377"
"555,Skeleton[Arch]er,82.2,122"
"556,[BY]Grumahji,82.2,212"
"557,[CORGI]Domcio,82.2,251"
"558,Krom,82.1,276"
"559,AndroidUser682,82.0,258"
"560,ben[OG]noone,82.0,409"
"561,[og]Jon,82.0,175"
"562,[SUSSY]Society,82.0,38"
"563,Microwaved[Corgi],81.9,138"
"564,[FIN]NucleoN23,81.7,148"
"565,Player776,81.6,66"
"566,Dean,81.6,172"
"567,[tomez]tomez,81.6,253"
"568,Tower7[Corgi],81.6,727"
"569,Vesmir,81.5,74"
"570,JesusIsKing,81.5,67"
"571,OrdoabChao,81.5,185"
"572,[CORGI]GetOFFmyturf,81.4,368"
"573,[ind]siIence,81.4,70"
